Origin_Airport,Destination_Airport,Departure_Time,Arrival_Time,Airline,Duration,Date,Price
VDH,HAN,10:50 AM,11:55 AM,Vietnam Airlines,1 hr 5 min,2024-06-26,"₫1,880,000"
VDH,HAN,10:50 AM,11:55 AM,Vietnam Airlines,1 hr 5 min,2024-06-27,"₫1,790,000"
VDH,HAN,10:50 AM,11:55 AM,Vietnam Airlines,1 hr 5 min,2024-06-28,"₫3,572,000"
VDH,HAN,10:50 AM,11:55 AM,Vietnam Airlines,1 hr 5 min,2024-06-29,"₫1,885,000"
VDH,HAN,10:50 AM,11:55 AM,Vietnam Airlines,1 hr 5 min,2024-07-01,"₫1,885,000"
VDH,HAN,,,,,2024-07-01,
VDH,HAN,10:50 AM,11:55 AM,Vietnam Airlines,1 hr 5 min,2024-07-02,"₫1,790,000"
VDH,HAN,10:50 AM,11:55 AM,Vietnam Airlines,1 hr 5 min,2024-07-03,"₫1,790,000"
VDH,HAN,10:50 AM,11:55 AM,Vietnam Airlines,1 hr 5 min,2024-07-04,"₫1,880,000"
VDH,HAN,10:50 AM,11:55 AM,Vietnam Airlines,1 hr 5 min,2024-07-05,"₫1,790,000"
VDH,HAN,10:50 AM,11:55 AM,Vietnam Airlines,1 hr 5 min,2024-07-06,"₫1,885,000"
VDH,HAN,10:50 AM,11:55 AM,Vietnam Airlines,1 hr 5 min,2024-07-07,"₫3,572,000"
VDH,HAN,10:50 AM,11:55 AM,Vietnam Airlines,1 hr 5 min,2024-07-08,"₫1,885,000"
VDH,HAN,10:50 AM,11:55 AM,Vietnam Airlines,1 hr 5 min,2024-07-09,"₫1,885,000"
VDH,HAN,10:50 AM,11:55 AM,Vietnam Airlines,1 hr 5 min,2024-07-10,"₫1,693,000"
VDH,HAN,,,,,2024-07-10,
VDH,HAN,10:50 AM,11:55 AM,Vietnam Airlines,1 hr 5 min,2024-07-11,"₫1,790,000"
VDH,HAN,10:50 AM,11:55 AM,Vietnam Airlines,1 hr 5 min,2024-07-12,"₫1,790,000"
VDH,HAN,10:50 AM,11:55 AM,Vietnam Airlines,1 hr 5 min,2024-07-13,"₫1,885,000"
VDH,HAN,10:50 AM,11:55 AM,Vietnam Airlines,1 hr 5 min,2024-07-14,"₫1,885,000"
VDH,HAN,10:50 AM,11:55 AM,Vietnam Airlines,1 hr 5 min,2024-07-15,"₫1,885,000"
VDH,SGN,9:35 AM,11:10 AM,VietJet Air,1 hr 35 min,2024-06-26,"₫1,578,600"
VDH,SGN,4:40 PM,6:15 PM,VietJet Air,1 hr 35 min,2024-06-26,"₫1,578,600"
VDH,SGN,9:45 AM,11:35 AM,Vietnam Airlines,1 hr 50 min,2024-06-26,"₫1,909,000"
VDH,SGN,9:35 AM,11:10 AM,VietJet Air,1 hr 35 min,2024-06-27,"₫1,578,600"
VDH,SGN,4:40 PM,6:15 PM,VietJet Air,1 hr 35 min,2024-06-27,"₫1,578,600"
VDH,SGN,9:45 AM,11:35 AM,Vietnam Airlines,1 hr 50 min,2024-06-27,"₫1,726,000"
VDH,SGN,9:35 AM,11:10 AM,VietJet Air,1 hr 35 min,2024-06-28,"₫1,578,600"
VDH,SGN,9:45 AM,11:35 AM,Vietnam Airlines,1 hr 50 min,2024-06-28,"₫1,726,000"
VDH,SGN,4:40 PM,6:15 PM,VietJet Air,1 hr 35 min,2024-06-28,"₫1,740,600"
VDH,SGN,4:40 PM,6:15 PM,VietJet Air,1 hr 35 min,2024-06-29,"₫1,578,600"
VDH,SGN,9:35 AM,11:10 AM,VietJet Air,1 hr 35 min,2024-06-29,"₫1,740,600"
VDH,SGN,9:45 AM,11:35 AM,Vietnam Airlines,1 hr 50 min,2024-06-29,"₫1,909,000"
VDH,SGN,9:35 AM,11:10 AM,VietJet Air,1 hr 35 min,2024-06-30,"₫1,740,600"
VDH,SGN,4:40 PM,6:15 PM,VietJet Air,1 hr 35 min,2024-06-30,"₫1,891,800"
VDH,SGN,9:45 AM,11:35 AM,Vietnam Airlines,1 hr 50 min,2024-06-30,"₫2,287,000"
VDH,SGN,9:35 AM,11:10 AM,VietJet Air,1 hr 35 min,2024-07-01,"₫1,740,600"
VDH,SGN,4:40 PM,6:15 PM,VietJet Air,1 hr 35 min,2024-07-01,"₫1,740,600"
VDH,SGN,9:35 AM,11:10 AM,VietJet Air,1 hr 35 min,2024-07-02,"₫1,578,600"
VDH,SGN,4:40 PM,6:15 PM,VietJet Air,1 hr 35 min,2024-07-02,"₫1,578,600"
VDH,SGN,9:35 AM,11:10 AM,VietJet Air,1 hr 35 min,2024-07-03,"₫1,578,600"
VDH,SGN,4:40 PM,6:15 PM,VietJet Air,1 hr 35 min,2024-07-03,"₫1,578,600"
VDH,SGN,9:35 AM,11:10 AM,VietJet Air,1 hr 35 min,2024-07-04,"₫1,578,600"
VDH,SGN,4:40 PM,6:15 PM,VietJet Air,1 hr 35 min,2024-07-04,"₫1,578,600"
VDH,SGN,9:35 AM,11:10 AM,VietJet Air,1 hr 35 min,2024-07-05,"₫1,578,600"
VDH,SGN,4:40 PM,6:15 PM,VietJet Air,1 hr 35 min,2024-07-05,"₫1,578,600"
VDH,SGN,9:35 AM,11:10 AM,VietJet Air,1 hr 35 min,2024-07-06,"₫1,578,600"
VDH,SGN,4:40 PM,6:15 PM,VietJet Air,1 hr 35 min,2024-07-06,"₫1,578,600"
VDH,SGN,9:35 AM,11:10 AM,VietJet Air,1 hr 35 min,2024-07-07,"₫1,740,600"
VDH,SGN,4:40 PM,6:15 PM,VietJet Air,1 hr 35 min,2024-07-07,"₫2,448,000"
VDH,SGN,9:35 AM,11:10 AM,VietJet Air,1 hr 35 min,2024-07-08,"₫1,740,600"
VDH,SGN,4:40 PM,6:15 PM,VietJet Air,1 hr 35 min,2024-07-08,"₫1,740,600"
VDH,SGN,9:35 AM,11:10 AM,VietJet Air,1 hr 35 min,2024-07-09,"₫1,578,600"
VDH,SGN,4:40 PM,6:15 PM,VietJet Air,1 hr 35 min,2024-07-09,"₫1,578,600"
VDH,SGN,9:35 AM,11:10 AM,VietJet Air,1 hr 35 min,2024-07-10,"₫1,578,600"
VDH,SGN,4:40 PM,6:15 PM,VietJet Air,1 hr 35 min,2024-07-10,"₫1,578,600"
VDH,SGN,9:35 AM,11:10 AM,VietJet Air,1 hr 35 min,2024-07-11,"₫1,578,600"
VDH,SGN,4:40 PM,6:15 PM,VietJet Air,1 hr 35 min,2024-07-11,"₫1,578,600"
VDH,SGN,,,,,2024-07-11,
VDH,SGN,,,,,2024-07-11,
VDH,SGN,9:35 AM,11:10 AM,VietJet Air,1 hr 35 min,2024-07-12,"₫1,578,600"
VDH,SGN,4:40 PM,6:15 PM,VietJet Air,1 hr 35 min,2024-07-12,"₫1,578,600"
VDH,SGN,9:35 AM,11:10 AM,VietJet Air,1 hr 35 min,2024-07-13,"₫1,578,600"
VDH,SGN,4:40 PM,6:15 PM,VietJet Air,1 hr 35 min,2024-07-13,"₫1,578,600"
VDH,SGN,9:35 AM,11:10 AM,VietJet Air,1 hr 35 min,2024-07-14,"₫1,740,600"
VDH,SGN,4:40 PM,6:15 PM,VietJet Air,1 hr 35 min,2024-07-14,"₫2,064,600"
VDH,SGN,9:35 AM,11:10 AM,VietJet Air,1 hr 35 min,2024-07-15,"₫1,740,600"
VDH,HAN,8:30 PM,9:30 PM,Vietnam Airlines,1 hr,2024-07-30,"₫2,600,000"
VDH,HAN,10:50 AM,11:55 AM,Vietnam Airlines,1 hr 5 min,2024-07-30,"₫3,572,000"
VDH,HAN,7:30 PM,8:45 PM,Vietnam Airlines,1 hr 15 min,2024-08-01,"₫1,121,000"
VDH,HAN,10:50 AM,11:55 AM,Vietnam Airlines,1 hr 5 min,2024-08-01,"₫1,304,000"
VDH,HAN,,,,,2024-08-01,
VDH,HAN,,,,,2024-08-01,
VDH,HAN,7:30 PM,8:45 PM,Vietnam Airlines,1 hr 15 min,2024-08-02,"₫1,304,000"
VDH,HAN,10:50 AM,11:55 AM,Vietnam Airlines,1 hr 5 min,2024-08-02,"₫1,402,000"
VDH,HAN,10:50 AM,11:55 AM,Vietnam Airlines,1 hr 5 min,2024-08-03,"₫1,402,000"
VDH,HAN,7:30 PM,8:45 PM,Vietnam Airlines,1 hr 15 min,2024-08-03,"₫1,402,000"
VDH,HAN,7:30 PM,8:45 PM,Vietnam Airlines,1 hr 15 min,2024-08-04,"₫3,140,000"
VDH,HAN,,,,,2024-08-04,
VDH,HAN,7:30 PM,8:45 PM,Vietnam Airlines,1 hr 15 min,2024-08-05,"₫1,693,000"
VDH,HAN,10:50 AM,11:55 AM,Vietnam Airlines,1 hr 5 min,2024-08-05,"₫1,885,000"
VDH,HAN,10:50 AM,11:55 AM,Vietnam Airlines,1 hr 5 min,2024-08-06,"₫1,304,000"
VDH,HAN,7:50 PM,8:55 PM,Vietnam Airlines,1 hr 5 min,2024-08-06,"₫1,304,000"
VDH,HAN,7:50 PM,8:55 PM,Vietnam Airlines,1 hr 5 min,2024-08-07,"₫1,121,000"
VDH,HAN,10:50 AM,11:55 AM,Vietnam Airlines,1 hr 5 min,2024-08-07,"₫1,402,000"
VDH,HAN,,,,,2024-08-07,
VDH,HAN,,,,,2024-08-07,
VDH,HAN,10:50 AM,11:55 AM,Vietnam Airlines,1 hr 5 min,2024-08-08,"₫1,304,000"
VDH,HAN,7:50 PM,8:55 PM,Vietnam Airlines,1 hr 5 min,2024-08-08,"₫1,304,000"
VDH,HAN,8:15 PM,9:30 PM,Vietnam Airlines,1 hr 15 min,2024-08-09,"₫1,121,000"
VDH,HAN,10:50 AM,11:55 AM,Vietnam Airlines,1 hr 5 min,2024-08-10,"₫1,304,000"
VDH,HAN,8:15 PM,9:30 PM,Vietnam Airlines,1 hr 15 min,2024-08-10,"₫1,499,000"
VDH,HAN,8:15 PM,9:30 PM,Vietnam Airlines,1 hr 15 min,2024-08-11,"₫3,572,000"
VDH,HAN,,,,,2024-08-11,
VDH,HAN,8:15 PM,9:30 PM,Vietnam Airlines,1 hr 15 min,2024-08-12,"₫1,499,000"
VDH,HAN,8:15 PM,9:30 PM,Vietnam Airlines,1 hr 15 min,2024-08-12,"₫1,499,000"
VDH,HAN,7:50 PM,8:55 PM,Vietnam Airlines,1 hr 5 min,2024-08-13,"₫1,034,000"
VDH,HAN,10:50 AM,11:55 AM,Vietnam Airlines,1 hr 5 min,2024-08-13,"₫1,304,000"
VDH,HAN,7:50 PM,8:55 PM,Vietnam Airlines,1 hr 5 min,2024-08-14,"₫1,034,000"
VDH,HAN,10:50 AM,11:55 AM,Vietnam Airlines,1 hr 5 min,2024-08-14,"₫1,596,000"
VDH,HAN,7:30 PM,8:45 PM,Vietnam Airlines,1 hr 15 min,2024-08-16,"₫1,034,000"
VDH,HAN,10:40 AM,11:45 AM,Vietnam Airlines,1 hr 5 min,2024-08-16,"₫1,207,000"
VDH,HAN,7:30 PM,8:45 PM,Vietnam Airlines,1 hr 15 min,2024-08-17,"₫1,121,000"
VDH,HAN,10:40 AM,11:45 AM,Vietnam Airlines,1 hr 5 min,2024-08-17,"₫1,304,000"
VDH,SGN,4:40 PM,6:15 PM,Vietjet,1 hr 35 min,2024-07-30,"₫2,734,200"
VDH,SGN,9:35 AM,11:10 AM,Vietjet,1 hr 35 min,2024-07-30,"₫2,982,600"
VDH,SGN,9:55 AM,11:35 AM,Vietnam Airlines,1 hr 40 min,2024-07-30,"₫3,065,000"
VDH,SGN,9:35 AM,11:10 AM,Vietjet,1 hr 35 min,2024-08-01,"₫2,269,800"
VDH,SGN,4:40 PM,6:15 PM,Vietjet,1 hr 35 min,2024-08-01,"₫2,269,800"
VDH,SGN,9:55 AM,11:35 AM,Vietnam Airlines,1 hr 40 min,2024-08-01,"₫3,065,000"
VDH,SGN,9:35 AM,11:10 AM,Vietjet,1 hr 35 min,2024-08-02,"₫2,269,800"
VDH,SGN,4:40 PM,6:15 PM,Vietjet,1 hr 35 min,2024-08-02,"₫2,269,800"
VDH,SGN,9:55 AM,11:35 AM,Vietnam Airlines,1 hr 40 min,2024-08-02,"₫2,287,000"
VDH,SGN,9:35 AM,11:10 AM,Vietjet,1 hr 35 min,2024-08-03,"₫2,269,800"
VDH,SGN,4:40 PM,6:15 PM,Vietjet,1 hr 35 min,2024-08-03,"₫2,269,800"
VDH,SGN,9:55 AM,11:35 AM,Vietnam Airlines,1 hr 40 min,2024-08-03,"₫2,482,000"
VDH,SGN,9:35 AM,11:10 AM,Vietjet,1 hr 35 min,2024-08-04,"₫2,269,800"
VDH,SGN,9:55 AM,11:35 AM,Vietnam Airlines,1 hr 40 min,2024-08-04,"₫2,687,000"
VDH,SGN,4:40 PM,6:15 PM,Vietjet,1 hr 35 min,2024-08-04,"₫3,112,200"
VDH,SGN,4:40 PM,6:15 PM,Vietjet,1 hr 35 min,2024-08-05,"₫1,891,800"
VDH,SGN,9:55 AM,11:35 AM,Vietnam Airlines,1 hr 40 min,2024-08-05,"₫1,909,000"
VDH,SGN,9:35 AM,11:10 AM,Vietjet,1 hr 35 min,2024-08-05,"₫2,064,600"
VDH,SGN,9:55 AM,11:35 AM,Vietnam Airlines,1 hr 40 min,2024-08-06,"₫1,726,000"
VDH,SGN,9:35 AM,11:10 AM,Vietjet,1 hr 35 min,2024-08-06,"₫1,740,600"
VDH,SGN,4:40 PM,6:15 PM,Vietjet,1 hr 35 min,2024-08-06,"₫1,740,600"
VDH,SGN,9:55 AM,11:35 AM,Vietnam Airlines,1 hr 40 min,2024-08-07,"₫1,726,000"
VDH,SGN,9:35 AM,11:10 AM,Vietjet,1 hr 35 min,2024-08-07,"₫1,740,600"
VDH,SGN,4:40 PM,6:15 PM,Vietjet,1 hr 35 min,2024-08-07,"₫1,740,600"
VDH,SGN,9:55 AM,11:35 AM,Vietnam Airlines,1 hr 40 min,2024-08-08,"₫1,531,000"
VDH,SGN,9:35 AM,11:10 AM,Vietjet,1 hr 35 min,2024-08-08,"₫1,740,600"
VDH,SGN,4:40 PM,6:15 PM,Vietjet,1 hr 35 min,2024-08-08,"₫1,740,600"
VDH,SGN,9:55 AM,11:35 AM,Vietnam Airlines,1 hr 40 min,2024-08-09,"₫1,726,000"
