Origin_Airport,Destination_Airport,Departure_Time,Arrival_Time,Airline,Duration,Date,Price
THD,SGN,7:30 PM,9:30 PM,VietJet Air,2 hr,2024-06-26,"₫1,783,800"
THD,SGN,12:55 PM,2:55 PM,VietJet Air,2 hr,2024-06-26,"₫1,956,600"
THD,SGN,3:20 PM,5:20 PM,VietJet Air,2 hr,2024-06-26,"₫1,956,600"
THD,SGN,7:30 PM,9:30 PM,VietJet Air,2 hr,2024-06-27,"₫1,783,800"
THD,SGN,12:55 PM,2:55 PM,VietJet Air,2 hr,2024-06-27,"₫1,956,600"
THD,SGN,8:35 AM,10:35 AM,VietJet Air,2 hr,2024-06-27,"₫1,956,600"
THD,SGN,3:20 PM,5:20 PM,VietJet Air,2 hr,2024-06-27,"₫1,956,600"
THD,SGN,3:55 PM,5:55 PM,VietJet Air,2 hr,2024-06-27,"₫1,956,600"
THD,SGN,5:55 PM,7:55 PM,VietJet Air,2 hr,2024-06-27,"₫1,956,600"
THD,SGN,2:45 PM,4:50 PM,Vietnam Airlines,2 hr 5 min,2024-06-27,"₫2,341,000"
THD,SGN,12:55 PM,2:55 PM,VietJet Air,2 hr,2024-06-28,"₫1,956,600"
THD,SGN,8:35 AM,10:35 AM,VietJet Air,2 hr,2024-06-28,"₫1,956,600"
THD,SGN,3:20 PM,5:20 PM,VietJet Air,2 hr,2024-06-28,"₫1,956,600"
THD,SGN,3:55 PM,5:55 PM,VietJet Air,2 hr,2024-06-28,"₫1,956,600"
THD,SGN,5:55 PM,7:55 PM,VietJet Air,2 hr,2024-06-28,"₫1,956,600"
THD,SGN,7:30 PM,9:30 PM,VietJet Air,2 hr,2024-06-29,"₫1,783,800"
THD,SGN,8:35 AM,10:35 AM,VietJet Air,2 hr,2024-06-29,"₫1,956,600"
THD,SGN,3:55 PM,5:55 PM,VietJet Air,2 hr,2024-06-29,"₫1,956,600"
THD,SGN,5:55 PM,7:55 PM,VietJet Air,2 hr,2024-06-29,"₫1,956,600"
THD,SGN,3:55 PM,5:55 PM,VietJet Air,2 hr,2024-06-30,"₫2,118,600"
THD,SGN,7:30 PM,9:30 PM,VietJet Air,2 hr,2024-06-30,"₫2,118,600"
THD,SGN,2:45 PM,4:50 PM,Vietnam Airlines,2 hr 5 min,2024-06-30,"₫2,557,000"
THD,SGN,8:35 AM,10:35 AM,VietJet Air,2 hr,2024-06-30,"₫2,302,200"
THD,SGN,5:55 PM,7:55 PM,VietJet Air,2 hr,2024-06-30,"₫2,302,200"
THD,SGN,3:20 PM,5:20 PM,VietJet Air,2 hr,2024-06-30,"₫2,712,600"
THD,SGN,9:40 PM,11:40 PM,VietJet Air,2 hr,2024-07-01,"₫1,654,200"
THD,SGN,7:30 PM,9:30 PM,VietJet Air,2 hr,2024-07-01,"₫1,783,800"
THD,SGN,12:55 PM,2:55 PM,VietJet Air,2 hr,2024-07-01,"₫1,956,600"
THD,SGN,8:35 AM,10:35 AM,VietJet Air,2 hr,2024-07-01,"₫1,956,600"
THD,SGN,7:30 PM,9:30 PM,VietJet Air,2 hr,2024-07-02,"₫1,654,200"
THD,SGN,9:40 PM,11:40 PM,VietJet Air,2 hr,2024-07-02,"₫1,654,200"
THD,SGN,8:35 AM,10:35 AM,VietJet Air,2 hr,2024-07-02,"₫1,956,600"
THD,SGN,3:20 PM,5:20 PM,VietJet Air,2 hr,2024-07-02,"₫1,956,600"
THD,SGN,7:30 PM,9:30 PM,VietJet Air,2 hr,2024-07-03,"₫1,654,200"
THD,SGN,9:40 PM,11:40 PM,VietJet Air,2 hr,2024-07-03,"₫1,654,200"
THD,SGN,9:40 PM,11:40 PM,VietJet Air,2 hr,2024-07-04,"₫1,654,200"
THD,SGN,8:35 AM,10:35 AM,VietJet Air,2 hr,2024-07-04,"₫1,783,800"
THD,SGN,7:30 PM,9:30 PM,VietJet Air,2 hr,2024-07-04,"₫1,783,800"
THD,SGN,7:30 PM,9:30 PM,VietJet Air,2 hr,2024-07-05,"₫1,654,200"
THD,SGN,8:35 AM,10:35 AM,VietJet Air,2 hr,2024-07-05,"₫1,783,800"
THD,SGN,9:40 PM,11:40 PM,VietJet Air,2 hr,2024-07-05,"₫1,654,200"
THD,SGN,12:55 PM,2:55 PM,VietJet Air,2 hr,2024-07-05,"₫1,956,600"
THD,SGN,7:30 PM,9:30 PM,VietJet Air,2 hr,2024-07-06,"₫1,654,200"
THD,SGN,9:40 PM,11:40 PM,VietJet Air,2 hr,2024-07-06,"₫1,654,200"
THD,SGN,8:35 AM,10:35 AM,VietJet Air,2 hr,2024-07-06,"₫1,783,800"
THD,SGN,3:20 PM,5:20 PM,VietJet Air,2 hr,2024-07-06,"₫1,956,600"
THD,SGN,9:40 PM,11:40 PM,VietJet Air,2 hr,2024-07-07,"₫1,783,800"
THD,SGN,8:35 AM,10:35 AM,VietJet Air,2 hr,2024-07-07,"₫1,956,600"
THD,SGN,3:55 PM,5:55 PM,VietJet Air,2 hr,2024-07-07,"₫2,118,600"
THD,SGN,8:35 AM,10:35 AM,VietJet Air,2 hr,2024-07-08,"₫1,783,800"
THD,SGN,9:40 PM,11:40 PM,VietJet Air,2 hr,2024-07-08,"₫1,654,200"
THD,SGN,7:30 PM,9:30 PM,VietJet Air,2 hr,2024-07-09,"₫1,654,200"
THD,SGN,9:40 PM,11:40 PM,VietJet Air,2 hr,2024-07-09,"₫1,654,200"
THD,SGN,8:35 AM,10:35 AM,VietJet Air,2 hr,2024-07-09,"₫1,783,800"
THD,SGN,3:20 PM,5:20 PM,VietJet Air,2 hr,2024-07-09,"₫1,956,600"
THD,SGN,3:55 PM,5:55 PM,VietJet Air,2 hr,2024-07-09,"₫1,956,600"
THD,SGN,7:30 PM,9:30 PM,VietJet Air,2 hr,2024-07-10,"₫1,654,200"
THD,SGN,8:35 AM,10:35 AM,VietJet Air,2 hr,2024-07-10,"₫1,783,800"
THD,SGN,9:40 PM,11:40 PM,VietJet Air,2 hr,2024-07-10,"₫1,654,200"
THD,SGN,12:55 PM,2:55 PM,VietJet Air,2 hr,2024-07-10,"₫1,956,600"
THD,SGN,7:30 PM,9:30 PM,VietJet Air,2 hr,2024-07-11,"₫1,654,200"
THD,SGN,9:40 PM,11:40 PM,VietJet Air,2 hr,2024-07-11,"₫1,654,200"
THD,SGN,8:35 AM,10:35 AM,VietJet Air,2 hr,2024-07-11,"₫1,783,800"
THD,SGN,3:20 PM,5:20 PM,VietJet Air,2 hr,2024-07-11,"₫1,956,600"
THD,SGN,7:30 PM,9:30 PM,VietJet Air,2 hr,2024-07-12,"₫1,654,200"
THD,SGN,8:35 AM,10:35 AM,VietJet Air,2 hr,2024-07-12,"₫1,783,800"
THD,SGN,9:40 PM,11:40 PM,VietJet Air,2 hr,2024-07-12,"₫1,654,200"
THD,SGN,12:55 PM,2:55 PM,VietJet Air,2 hr,2024-07-12,"₫1,956,600"
THD,SGN,3:20 PM,5:20 PM,VietJet Air,2 hr,2024-07-12,"₫1,956,600"
THD,SGN,7:30 PM,9:30 PM,VietJet Air,2 hr,2024-07-13,"₫1,654,200"
