Origin_Airport,Destination_Airport,Departure_Time,Arrival_Time,Airline,Duration,Date,Price
VII,BMV,3:15 PM,4:40 PM,VietJet Air,1 hr 25 min,2024-06-26,"₫1,382,600"
VII,BMV,3:15 PM,4:40 PM,VietJet Air,1 hr 25 min,2024-06-27,"₫1,382,600"
VII,BMV,3:15 PM,4:40 PM,VietJet Air,1 hr 25 min,2024-06-28,"₫1,544,600"
VII,BMV,3:15 PM,4:40 PM,VietJet Air,1 hr 25 min,2024-06-29,"₫1,544,600"
VII,BMV,3:15 PM,4:40 PM,VietJet Air,1 hr 25 min,2024-06-30,"₫1,544,600"
VII,BMV,3:15 PM,4:40 PM,VietJet Air,1 hr 25 min,2024-07-01,"₫1,382,600"
VII,BMV,3:15 PM,4:40 PM,VietJet Air,1 hr 25 min,2024-07-02,"₫1,382,600"
VII,BMV,,,,,2024-07-02,
VII,BMV,3:15 PM,4:40 PM,VietJet Air,1 hr 25 min,2024-07-03,"₫1,382,600"
VII,BMV,,,,,2024-07-03,
VII,BMV,3:15 PM,4:40 PM,VietJet Air,1 hr 25 min,2024-07-04,"₫1,382,600"
VII,BMV,3:15 PM,4:40 PM,VietJet Air,1 hr 25 min,2024-07-05,"₫1,544,600"
VII,BMV,,,,,2024-07-05,
VII,BMV,3:15 PM,4:40 PM,VietJet Air,1 hr 25 min,2024-07-06,"₫1,544,600"
VII,BMV,3:15 PM,4:40 PM,VietJet Air,1 hr 25 min,2024-07-07,"₫1,544,600"
VII,BMV,3:15 PM,4:40 PM,VietJet Air,1 hr 25 min,2024-07-08,"₫1,382,600"
VII,BMV,3:15 PM,4:40 PM,VietJet Air,1 hr 25 min,2024-07-09,"₫1,382,600"
VII,BMV,3:15 PM,4:40 PM,VietJet Air,1 hr 25 min,2024-07-10,"₫1,382,600"
VII,BMV,3:15 PM,4:40 PM,VietJet Air,1 hr 25 min,2024-07-11,"₫1,382,600"
VII,BMV,3:15 PM,4:40 PM,VietJet Air,1 hr 25 min,2024-07-12,"₫1,544,600"
VII,BMV,3:15 PM,4:40 PM,VietJet Air,1 hr 25 min,2024-07-13,"₫1,544,600"
VII,BMV,3:15 PM,4:40 PM,VietJet Air,1 hr 25 min,2024-07-14,"₫1,544,600"
VII,BMV,3:15 PM,4:40 PM,VietJet Air,1 hr 25 min,2024-07-15,"₫1,382,600"
VII,VCA,6:15 PM,8:05 PM,VietJet Air,1 hr 50 min,2024-06-26,"₫1,674,200"
VII,VCA,5:40 PM,7:30 PM,VietJet Air,1 hr 50 min,2024-06-28,"₫1,803,800"
VII,VCA,5:40 PM,7:30 PM,VietJet Air,1 hr 50 min,2024-06-30,"₫1,674,200"
VII,VCA,5:40 PM,7:30 PM,VietJet Air,1 hr 50 min,2024-07-01,"₫1,674,200"
VII,VCA,6:15 PM,8:05 PM,VietJet Air,1 hr 50 min,2024-07-03,"₫1,544,600"
VII,VCA,,,,,2024-07-03,
VII,VCA,5:40 PM,7:30 PM,VietJet Air,1 hr 50 min,2024-07-05,"₫1,803,800"
VII,VCA,5:40 PM,7:30 PM,VietJet Air,1 hr 50 min,2024-07-07,"₫1,544,600"
VII,VCA,6:15 PM,8:05 PM,VietJet Air,1 hr 50 min,2024-07-08,"₫1,674,200"
VII,VCA,5:40 PM,7:30 PM,VietJet Air,1 hr 50 min,2024-07-10,"₫1,544,600"
VII,VCA,5:40 PM,7:30 PM,VietJet Air,1 hr 50 min,2024-07-12,"₫1,674,200"
VII,VCA,5:40 PM,7:30 PM,VietJet Air,1 hr 50 min,2024-07-14,"₫1,544,600"
VII,VCA,5:40 PM,7:30 PM,VietJet Air,1 hr 50 min,2024-07-15,"₫1,674,200"
VII,DLI,11:10 AM,12:45 PM,VietJet Air,1 hr 35 min,2024-06-26,"₫1,598,600"
VII,DLI,11:10 AM,12:45 PM,VietJet Air,1 hr 35 min,2024-06-27,"₫1,598,600"
VII,DLI,11:10 AM,12:45 PM,VietJet Air,1 hr 35 min,2024-06-28,"₫1,598,600"
VII,DLI,11:10 AM,12:45 PM,VietJet Air,1 hr 35 min,2024-06-29,"₫1,760,600"
VII,DLI,11:10 AM,12:45 PM,VietJet Air,1 hr 35 min,2024-06-30,"₫1,911,800"
VII,DLI,11:10 AM,12:45 PM,VietJet Air,1 hr 35 min,2024-07-01,"₫1,760,600"
VII,DLI,11:10 AM,12:45 PM,VietJet Air,1 hr 35 min,2024-07-02,"₫1,760,600"
VII,DLI,11:10 AM,12:45 PM,VietJet Air,1 hr 35 min,2024-07-03,"₫1,760,600"
VII,DLI,11:10 AM,12:45 PM,VietJet Air,1 hr 35 min,2024-07-04,"₫1,760,600"
VII,DLI,11:10 AM,12:45 PM,VietJet Air,1 hr 35 min,2024-07-05,"₫1,598,600"
VII,DLI,11:10 AM,12:45 PM,VietJet Air,1 hr 35 min,2024-07-06,"₫1,760,600"
VII,DLI,11:10 AM,12:45 PM,VietJet Air,1 hr 35 min,2024-07-07,"₫1,911,800"
VII,DLI,,,,,2024-07-07,
VII,DLI,11:10 AM,12:45 PM,VietJet Air,1 hr 35 min,2024-07-08,"₫1,598,600"
VII,DLI,11:10 AM,12:45 PM,VietJet Air,1 hr 35 min,2024-07-09,"₫1,598,600"
VII,DLI,11:10 AM,12:45 PM,VietJet Air,1 hr 35 min,2024-07-10,"₫1,598,600"
VII,DLI,11:10 AM,12:45 PM,VietJet Air,1 hr 35 min,2024-07-11,"₫1,760,600"
VII,DLI,11:10 AM,12:45 PM,VietJet Air,1 hr 35 min,2024-07-12,"₫1,598,600"
VII,DLI,11:10 AM,12:45 PM,VietJet Air,1 hr 35 min,2024-07-13,"₫1,760,600"
VII,DLI,11:10 AM,12:45 PM,VietJet Air,1 hr 35 min,2024-07-14,"₫1,760,600"
VII,DLI,,,,,2024-07-14,
