Origin_Airport,Destination_Airport,Departure_Time,Arrival_Time,Airline,Duration,Date,Price
DLI,DAD,5:20 PM,6:30 PM,Vietnam Airlines,1 hr 10 min,2024-06-27,"₫1,800,000"
DLI,DAD,5:20 PM,6:30 PM,Vietnam Airlines,1 hr 10 min,2024-06-29,"₫2,275,000"
DLI,DAD,5:20 PM,6:30 PM,Vietnam Airlines,1 hr 10 min,2024-07-02,"₫1,800,000"
DLI,DAD,5:20 PM,6:30 PM,Vietnam Airlines,1 hr 10 min,2024-07-04,"₫1,800,000"
DLI,DAD,5:20 PM,6:30 PM,Vietnam Airlines,1 hr 10 min,2024-07-06,"₫1,951,000"
DLI,DAD,5:20 PM,6:30 PM,Vietnam Airlines,1 hr 10 min,2024-07-09,"₫1,951,000"
DLI,DAD,,,,,2024-07-09,
DLI,DAD,5:20 PM,6:30 PM,Vietnam Airlines,1 hr 10 min,2024-07-11,"₫1,659,000"
DLI,DAD,5:20 PM,6:30 PM,Vietnam Airlines,1 hr 10 min,2024-07-13,"₫1,951,000"
DLI,HPH,5:45 PM,7:30 PM,VietJet Air,1 hr 45 min,2024-06-26,"₫2,322,200"
DLI,HPH,8:40 AM,10:25 AM,VietJet Air,1 hr 45 min,2024-06-27,"₫1,803,800"
DLI,HPH,5:45 PM,7:30 PM,VietJet Air,1 hr 45 min,2024-06-28,"₫2,322,200"
DLI,HPH,8:40 AM,10:25 AM,VietJet Air,1 hr 45 min,2024-06-29,"₫1,803,800"
DLI,HPH,5:45 PM,7:30 PM,VietJet Air,1 hr 45 min,2024-06-30,"₫2,138,600"
DLI,HPH,5:45 PM,7:30 PM,VietJet Air,1 hr 45 min,2024-07-01,"₫2,322,200"
DLI,HPH,5:45 PM,7:30 PM,VietJet Air,1 hr 45 min,2024-07-03,"₫2,138,600"
DLI,HPH,8:40 AM,10:25 AM,VietJet Air,1 hr 45 min,2024-07-04,"₫1,803,800"
DLI,HPH,5:45 PM,7:30 PM,VietJet Air,1 hr 45 min,2024-07-05,"₫2,792,000"
