Origin_Airport,Destination_Airport,Departure_Time,Arrival_Time,Airline,Duration,Date,Price
HPH,BMV,11:00 AM,12:40 PM,VietJet Air,1 hr 40 min,2024-06-27,"₫1,760,600"
HPH,BMV,11:00 AM,12:40 PM,VietJet Air,1 hr 40 min,2024-06-29,"₫1,760,600"
HPH,BMV,6:00 AM,7:40 AM,VietJet Air,1 hr 40 min,2024-07-01,"₫1,760,600"
HPH,BMV,11:00 AM,12:40 PM,VietJet Air,1 hr 40 min,2024-07-02,"₫1,760,600"
HPH,BMV,11:00 AM,12:40 PM,VietJet Air,1 hr 40 min,2024-07-04,"₫1,760,600"
HPH,BMV,11:00 AM,12:40 PM,VietJet Air,1 hr 40 min,2024-07-06,"₫1,760,600"
HPH,BMV,6:00 AM,7:40 AM,VietJet Air,1 hr 40 min,2024-07-08,"₫1,598,600"
HPH,BMV,11:00 AM,12:40 PM,VietJet Air,1 hr 40 min,2024-07-09,"₫1,760,600"
HPH,BMV,11:00 AM,12:40 PM,VietJet Air,1 hr 40 min,2024-07-11,"₫1,760,600"
HPH,BMV,,,,,2024-07-11,
HPH,BMV,11:00 AM,12:40 PM,VietJet Air,1 hr 40 min,2024-07-13,"₫1,598,600"
HPH,VCA,6:30 PM,8:35 PM,VietJet Air,2 hr 5 min,2024-06-27,"₫1,868,600"
HPH,VCA,5:50 PM,7:55 PM,VietJet Air,2 hr 5 min,2024-06-29,"₫1,868,600"
HPH,VCA,,,,,2024-06-29,
HPH,VCA,5:50 PM,7:55 PM,VietJet Air,2 hr 5 min,2024-07-02,"₫1,868,600"
HPH,VCA,6:30 PM,8:35 PM,VietJet Air,2 hr 5 min,2024-07-04,"₫1,868,600"
HPH,VCA,,,,,2024-07-04,
HPH,VCA,6:30 PM,8:35 PM,VietJet Air,2 hr 5 min,2024-07-06,"₫1,868,600"
HPH,VCA,5:50 PM,7:55 PM,VietJet Air,2 hr 5 min,2024-07-09,"₫1,868,600"
HPH,VCA,5:50 PM,7:55 PM,VietJet Air,2 hr 5 min,2024-07-11,"₫1,868,600"
HPH,VCA,6:30 PM,8:35 PM,VietJet Air,2 hr 5 min,2024-07-13,"₫1,868,600"
HPH,DLI,3:35 PM,5:20 PM,VietJet Air,1 hr 45 min,2024-06-26,"₫1,803,800"
HPH,DLI,6:20 AM,8:05 AM,VietJet Air,1 hr 45 min,2024-06-27,"₫1,803,800"
HPH,DLI,3:35 PM,5:20 PM,VietJet Air,1 hr 45 min,2024-06-28,"₫2,516,600"
HPH,DLI,,,,,2024-06-28,
HPH,DLI,6:20 AM,8:05 AM,VietJet Air,1 hr 45 min,2024-06-29,"₫1,803,800"
HPH,DLI,3:35 PM,5:20 PM,VietJet Air,1 hr 45 min,2024-06-30,"₫2,322,200"
HPH,DLI,3:35 PM,5:20 PM,VietJet Air,1 hr 45 min,2024-07-01,"₫2,138,600"
HPH,DLI,3:35 PM,5:20 PM,VietJet Air,1 hr 45 min,2024-07-03,"₫1,976,600"
HPH,DLI,6:20 AM,8:05 AM,VietJet Air,1 hr 45 min,2024-07-04,"₫1,803,800"
HPH,DLI,3:35 PM,5:20 PM,VietJet Air,1 hr 45 min,2024-07-05,"₫2,322,200"
HPH,DLI,6:20 AM,8:05 AM,VietJet Air,1 hr 45 min,2024-07-06,"₫1,803,800"
HPH,DLI,3:35 PM,5:20 PM,VietJet Air,1 hr 45 min,2024-07-07,"₫2,138,600"
HPH,DLI,3:35 PM,5:20 PM,VietJet Air,1 hr 45 min,2024-07-08,"₫2,138,600"
HPH,DLI,3:35 PM,5:20 PM,VietJet Air,1 hr 45 min,2024-07-10,"₫2,138,600"
HPH,DLI,6:20 AM,8:05 AM,VietJet Air,1 hr 45 min,2024-07-11,"₫1,803,800"
HPH,DLI,3:35 PM,5:20 PM,VietJet Air,1 hr 45 min,2024-07-12,"₫1,976,600"
HPH,DLI,6:20 AM,8:05 AM,VietJet Air,1 hr 45 min,2024-07-13,"₫1,803,800"
HPH,DLI,3:35 PM,5:20 PM,VietJet Air,1 hr 45 min,2024-07-14,"₫1,976,600"
HPH,DLI,3:35 PM,5:20 PM,VietJet Air,1 hr 45 min,2024-07-15,"₫1,803,800"
HPH,DAD,9:15 PM,10:30 PM,VietJet Air,1 hr 15 min,2024-06-26,"₫1,382,600"
HPH,DAD,10:50 AM,12:05 PM,VietJet Air,1 hr 15 min,2024-06-26,"₫2,084,600"
HPH,DAD,9:15 PM,10:30 PM,VietJet Air,1 hr 15 min,2024-06-27,"₫1,382,600"
HPH,DAD,10:50 AM,12:05 PM,VietJet Air,1 hr 15 min,2024-06-27,"₫2,084,600"
HPH,DAD,9:15 PM,10:30 PM,VietJet Air,1 hr 15 min,2024-06-28,"₫1,382,600"
HPH,DAD,10:50 AM,12:05 PM,VietJet Air,1 hr 15 min,2024-06-28,"₫2,252,000"
HPH,DAD,9:15 PM,10:30 PM,VietJet Air,1 hr 15 min,2024-06-29,"₫1,382,600"
HPH,DAD,10:50 AM,12:05 PM,VietJet Air,1 hr 15 min,2024-06-29,"₫2,138,600"
HPH,DAD,9:15 PM,10:30 PM,VietJet Air,1 hr 15 min,2024-06-30,"₫1,382,600"
HPH,DAD,10:50 AM,12:05 PM,VietJet Air,1 hr 15 min,2024-06-30,"₫2,084,600"
HPH,DAD,5:35 PM,6:50 PM,VietJet Air,1 hr 15 min,2024-07-01,"₫1,793,000"
HPH,DAD,10:50 AM,12:05 PM,VietJet Air,1 hr 15 min,2024-07-01,"₫2,084,600"
HPH,DAD,5:35 PM,6:50 PM,VietJet Air,1 hr 15 min,2024-07-02,"₫1,793,000"
HPH,DAD,10:50 AM,12:05 PM,VietJet Air,1 hr 15 min,2024-07-02,"₫2,084,600"
HPH,DAD,5:35 PM,6:50 PM,VietJet Air,1 hr 15 min,2024-07-03,"₫1,793,000"
HPH,DAD,10:50 AM,12:05 PM,VietJet Air,1 hr 15 min,2024-07-03,"₫2,084,600"
HPH,DAD,5:35 PM,6:50 PM,VietJet Air,1 hr 15 min,2024-07-04,"₫1,793,000"
HPH,DAD,10:50 AM,12:05 PM,VietJet Air,1 hr 15 min,2024-07-04,"₫2,084,600"
HPH,DAD,10:50 AM,12:05 PM,VietJet Air,1 hr 15 min,2024-07-05,"₫2,252,000"
HPH,DAD,5:35 PM,6:50 PM,VietJet Air,1 hr 15 min,2024-07-05,"₫2,252,000"
HPH,DAD,5:35 PM,6:50 PM,VietJet Air,1 hr 15 min,2024-07-06,"₫1,933,400"
HPH,DAD,10:50 AM,12:05 PM,VietJet Air,1 hr 15 min,2024-07-06,"₫2,138,600"
HPH,DAD,5:35 PM,6:50 PM,VietJet Air,1 hr 15 min,2024-07-07,"₫1,793,000"
HPH,DAD,10:50 AM,12:05 PM,VietJet Air,1 hr 15 min,2024-07-07,"₫2,084,600"
HPH,DAD,5:35 PM,6:50 PM,VietJet Air,1 hr 15 min,2024-07-08,"₫1,793,000"
HPH,DAD,10:50 AM,12:05 PM,VietJet Air,1 hr 15 min,2024-07-08,"₫2,084,600"
HPH,DAD,5:35 PM,6:50 PM,VietJet Air,1 hr 15 min,2024-07-09,"₫1,793,000"
HPH,DAD,10:50 AM,12:05 PM,VietJet Air,1 hr 15 min,2024-07-09,"₫2,084,600"
HPH,DAD,5:35 PM,6:50 PM,VietJet Air,1 hr 15 min,2024-07-10,"₫1,793,000"
HPH,DAD,10:50 AM,12:05 PM,VietJet Air,1 hr 15 min,2024-07-10,"₫2,084,600"
